FID,Shape *,kml_addres,kml_id,Latitude,Longitud,OfficeName,Country
0,Point ZM, ,kml_1,144.949906,-37.821016,Melbourne,AUS
1,Point ZM, ,kml_2,151.204226,-33.870186,Sydney,AUS
2,Point ZM,"4-5 Union Terrace, Aberdeen AB10 1NJ, UK",kml_3,-2.103146,57.145964,Aberdeen,GBR
3,Point ZM,"Spring Bank House, 33 Stamford St, Altrincham WA14 1ES, UK",kml_4,54.364017,24.490816,Abu Dhabi,ARE
4,Point ZM, ,kml_5,-2.347197,53.3896,Altrincham,GBR
5,Point ZM, ,kml_6,5.897629,51.986395,Arnhem,NLD
6,Point ZM, ,kml_7,-84.346564,33.931416,Atlanta,USA
7,Point ZM, ,kml_8,100.573752,13.769677,Bangkok,THA
8,Point ZM,"6th Floor, The Boat, 49 Queen's Square, Belfast BT1 3FG, UK",kml_9,-5.922718,54.600885,Belfast,GBR
9,Point ZM, ,kml_10,149.187377,-35.311488,Canberra,AUS
10,Point ZM,"12 Creek St, Brisbane City QLD 4000",kml_11,153.029714,-27.468532,Brisbane,AUS
11,Point ZM,"22 King William St, Adelaide SA 5000",kml_12,138.599884,-34.922409,Adelaide,AUS
12,Point ZM,"22 King William St, Adelaide SA 5000",kml_13,174.756202,-36.843057,Auckland,NZL
13,Point ZM,"Level 5/139 The Terrace, Wellington Central, Wellington 6011, New Zealand",kml_14,174.77453,-41.284051,Wellington,NZL
14,Point ZM,"Hong Kong, Kwun Tong, Kwun Tong Rd, 348?3/F, International Trade Tower",kml_15,114.217056,22.315155,Hong Kong,HKG
15,Point ZM,"3rd Floor, 68-72 GV Towers, Kodigehalli Main Rd, Sahakar Nagar, Bengaluru, Karnataka 560092, India",kml_16,77.585087,13.05835,Bengaluru,IND
16,Point ZM,"35 Newhall St, Birmingham B3 3PU, UK",kml_17,-1.902281,52.481809,Birmingham,GBR
17,Point ZM," The Found Riverside Industrial Estate, Marsh Ln, Boston PE21 7PJ, UK",kml_18,-0.02247,52.96485,Boston - Westwood,GBR
18,Point ZM,"Victory House, Trafalgar Pl, Brighton BN1 4FY, UK",kml_19,-0.139628,50.829801,Brighton,GBR
19,Point ZM,"27 Clifton Rd, Cambridge CB1 7EB, UK",kml_20,0.137803,52.191607,Cambridge,GBR
20,Point ZM,"10 Fleet Pl, London EC4M 7RB, UK",kml_21,-0.103562,51.515049,London - Fleet Place,GBR
21,Point ZM,"Voyager House, 30-32 Wellesley Rd, Croydon CR0 2AD, UK",kml_22,-0.09819,51.37674,Croydon,GBR
22,Point ZM,"Mountbatten House, Grosvenor Square, Southampton SO15, UK",kml_23,-1.406629,50.910952,Southampton,GBR
23,Point ZM,"Moray House, 16-18 Bank St, Inverness IV1 1QY, UK",kml_24,-4.228172,57.479032,Inverness,GBR
24,Point ZM,"Floor 1, 12 Blenheim Pl, Edinburgh EH7 5JH, UK",kml_25,-3.182966,55.9572,Edinburgh,GBR
25,Point ZM,"St Vincent Plaza, 319 St Vincent St, Glasgow G2 5LD, UK",kml_26,-4.269259,55.862625,Glasgow,GBR
26,Point ZM,"10 Temple Back, Redcliffe, Bristol BS1 6FL, UK",kml_27,-2.586231,51.453322,Bristol,GBR
27,Point ZM,"Ap 05, Strada Traian 246, Etaj 3, Bucure?ti 024046, Romania",kml_28,26.120493,44.443123,Bucharest,ROU
28,Point ZM,"Budapest, Váci út 45, 1134 Hungary",kml_29,19.066574,47.527939,Budapest,HUN
29,Point ZM,"8001, Foreshore, Cape Town, 8001, South Africa",kml_30,18.427095,-33.919583,Cape Town,ZAF
30,Point ZM,"2 Callaghan Square, Cardiff CF10 5BT, UK",kml_31,-3.173894,51.476223,Cardiff,GBR
31,Point ZM,"1435 W Morehead St Suite 140, Charlotte, NC 28208",kml_32,-80.864454,35.228111,Charlotte,USA
32,Point ZM,"903 Hay St, Fayetteville, NC 28305",kml_33,-78.895294,35.055922,Fayetteville,USA
33,Point ZM,"1101 Haynes St #101, Raleigh, NC 27604",kml_34,-78.637773,35.794758,Raleigh,USA
34,Point ZM,"7621 Purfoy Rd Suite 115, Fuquay-Varina, NC 27526",kml_35,-78.772798,35.589914,Fuquay-Varina,USA
35,Point ZM,"2343 Alexandria Dr STE 320, Lexington, KY 40504",kml_36,-84.551018,38.018281,Lexington,USA
36,Point ZM,"4245 Fairfax Dr #800, Arlington, VA 22203",kml_37,-77.112312,38.882628,Arlington,USA
37,Point ZM,"201 Pennsylvania S #400, Charleston, WV 25302",kml_38,-81.645327,38.358157,Charleston,USA
38,Point ZM,"34 Commerce Dr Suite 106, Morgantown, WV 26501",kml_39,-79.986594,39.628629,Morgantown,USA
39,Point ZM,"100 EverGreene Dr #104, Waynesburg, PA 15370",kml_40,-80.125828,39.90399,Waynesburg,USA
40,Point ZM,"10 S LaSalle St #2520, Chicago, IL 60603",kml_41,-87.632908,41.881562,Chicago,USA
